id,nombre,sha_1,sha_2,sha_3,sha_4,sha_5,sha_6,sha_7,sha_8,sha_9,sha_10,sha_11,sha_12,dec_1,dec_2,dec_3,dec_4,dec_5,dec_6,dec_7,dec_8,dec_9,dec_10,dec_11,dec_12
77,Atria,107.153,107.143,107.135,107.125,107.117,107.112,107.110,107.112,107.118,107.123,107.128,107.128,-69.072,-69.070,-69.070,-69.072,-69.073,-69.075,-69.077,-69.078,-69.080,-69.078,-69.077,-69.075
78,e-Scorpii,107.042,107.037,107.033,107.028,107.025,107.022,107.020,107.022,107.023,107.025,107.027,107.027,-34.340,-34.340,-34.340,-34.340,-34.342,-34.342,-34.342,-34.342,-34.343,-34.343,-34.342,-34.342
79,Sabik,102.037,102.033,102.028,102.025,102.022,102.018,102.017,102.018,102.018,102.022,102.023,102.022,-15.757,-15.758,-15.758,-15.758,-15.758,-15.758,-15.758,-15.758,-15.757,-15.757,-15.757,-15.757
80,Rasalgethi,101.045,101.042,101.038,101.035,101.032,101.030,101.028,101.028,101.030,101.033,101.035,101.035,14.360,14.357,14.357,14.357,14.357,14.358,14.360,14.362,14.363,14.363,14.362,14.360
81,Shaula,96.162,96.157,96.153,96.148,96.143,96.140,96.138,96.138,96.140,96.142,96.143,96.145,-37.122,-37.122,-37.122,-37.122,-37.122,-37.122,-37.123,-37.125,-37.125,-37.125,-37.123,-37.123
82,Rasalhague,95.968,95.965,95.962,95.958,95.955,95.952,95.952,95.952,95.953,95.955,95.957,95.957,12.540,12.538,12.537,12.537,12.538,12.540,12.542,12.542,12.543,12.543,12.543,12.542
83,t-Scorpii,95.208,95.203,95.200,95.193,95.190,95.185,95.183,95.183,95.185,95.188,95.190,95.190,-43.013,-43.012,-43.012,-43.012,-43.013,-43.013,-43.015,-43.015,-43.017,-43.017,-43.015,-43.015
84,Eltanin,90.705,90.703,90.698,90.693,90.688,90.685,90.685,90.687,90.690,90.693,90.697,90.700,51.483,51.480,51.478,51.478,51.480,51.483,51.485,51.488,51.490,51.490,51.488,51.487
85,Kaus Australis,83.530,83.527,83.523,83.518,83.515,83.510,83.508,83.507,83.508,83.510,83.513,83.513,-34.372,-34.372,-34.372,-34.372,-34.370,-34.372,-34.372,-34.372,-34.372,-34.373,-34.372,-34.372
86,Vega,80.552,80.550,80.547,80.542,80.538,80.535,80.533,80.533,80.535,80.538,80.540,80.543,38.807,38.805,38.803,38.802,38.803,38.805,38.808,38.810,38.812,38.813,38.812,38.810
87,Nunki,75.785,75.783,75.780,75.775,75.772,75.767,75.765,75.763,75.765,75.767,75.768,75.768,-26.265,-26.265,-26.263,-26.263,-26.263,-26.263,-26.263,-26.263,-26.263,-26.263,-26.263,-26.263
